Algorithm 1	Algorithm 2	Alpha	K-Value	A2A Score	CVG (1 -> 2)	CVG (2 -> 1)
ARC	Limbo	0.6	34	83.33333333	0	0
ARC	ACDC	0.6	34	79.27927928	0.029411765	0.25
ARC	WCA	0.8	34	83.47701149	0	0
ARC	Limbo	0.8	34	83.33333333	0	0
ARC	ACDC	0.8	34	79.27927928	0.029411765	0.25
WCA	Limbo	N/A	35	82.3782235	0.028571429	0.028571429
WCA	ACDC	N/A	35	85.15742129	0.028571429	0.25
Limbo	ACDC	N/A	35	77.81109445	0	0
ARC	WCA	0.2	35	83.23782235	0.057142857	0.057142857
ARC	Limbo	0.2	35	82.3782235	0	0
ARC	ACDC	0.2	35	77.36131934	0	0
ARC	WCA	0.4	35	83.95415473	0	0
ARC	Limbo	0.4	35	83.38108883	0	0
